Biomass class;Biomass;Dry matter [%], M;Dry matter [%], SD;Dry matter [%], Min;Dry matter [%], Max;Distribution;Source
FCB;Cereal grain;88.08;4.38;70.87;100;Normal;Gas Yield in Agricultural Biogas Plants, Dandikas et al. (2021)
FCB;Cereal whole crop;35;1.76;28.77;41.64;Normal;Basic data for the implementation of the Fertilizer Ordinance, for consulting and planning and for calculations (LfL, 2023)
FCB;Field grass;27.99;1.41;22.81;33.21;Normal;Gas Yield in Agricultural Biogas Plants, Dandikas et al. (2021)
FCB;Fodder beets;18.99;0.94;15.76;22.92;Normal;Methane production potential of various crop species grown in energy crop rotations, Herrmann et al. (2016)
FCB;Green rye;22.01;1.1;17.93;25.76;Normal;Methane production potential of various crop species grown in energy crop rotations, Herrmann et al. (2016)
FCB;Legume cereal mix whole crop;32.91;1.64;26.47;39.23;Normal;Own data, unpublished
FCB;Legume grain;85.94;4.21;70.49;100;Normal;Basic data for the implementation of the Fertilizer Ordinance, for consulting and planning and for calculations (LfL, 2023)
FCB;Legume whole crop;25.3;1.27;20.6;29.85;Normal;Biogas crops grown in energy crop rotations: Linking chemical composition and methane production characteristics, Herrmann et al. (2016)
FCB;Maize grain;67.91;3.38;55.45;80.06;Normal;Own data, unpublished
FCB;Maize whole crop;35.1;1.74;28.82;41.62;Normal;Gas Yield in Agricultural Biogas Plants, Dandikas et al. (2021)
FCB;Potatoes;23.7;1.18;19.53;28;Normal;Own data, unpublished
FCB;Rapeseed grain;90.99;4.5;73.48;100;Normal;Basic data for the implementation of the Fertilizer Ordinance, for consulting and planning and for calculations (LfL, 2023)
FCB;Rapeseed whole crop;29.01;1.46;23.5;34.2;Normal;Methane production potential of various crop species grown in energy crop rotations, Herrmann et al. (2016)
FCB;Sorghum grain;85.93;4.29;68.91;100;Normal;Basic data for the implementation of the Fertilizer Ordinance, for consulting and planning and for calculations (LfL, 2023)
FCB;Sorghum whole crop;26.21;1.29;21.17;31.37;Normal;Gas Yield in Agricultural Biogas Plants, Dandikas et al. (2021)
FCB;Sugar beets;22.48;1.13;18.54;27.1;Normal;Gas Yield in Agricultural Biogas Plants, Dandikas et al. (2021)
FCB;Sunflower grain;91.01;4.47;73.67;100;Normal;Basic data for the implementation of the Fertilizer Ordinance, for consulting and planning and for calculations (LfL, 2023)
FCB;Sunflower whole crop;35.02;1.75;28.52;42.26;Normal;Methane production potential of various crop species grown in energy crop rotations, Herrmann et al. (2016)
LCB;Alpine grass;28.22;1.42;22.9;33.64;Normal;Gas Yield in Agricultural Biogas Plants, Dandikas et al. (2021)
LCB;Beet leaf;24.41;1.22;19.87;28.93;Normal;Own data, unpublished
LCB;Cereal straw;86.04;4.3;69.65;100;Normal;Basic data for the implementation of the Fertilizer Ordinance, for consulting and planning and for calculations (LfL, 2023)
LCB;Clover alfalfa grass mix;25.9;1.3;21.26;30.69;Normal;Biogas crops grown in energy crop rotations: Linking chemical composition and methane production characteristics, Herrmann et al. (2016)
LCB;Clover grass mix;35.61;1.8;28.31;42.35;Normal;Gas Yield in Agricultural Biogas Plants, Dandikas et al. (2021)
LCB;Cup plant;23.51;1.18;19.6;28.54;Normal;Gas Yield in Agricultural Biogas Plants, Dandikas et al. (2021)
LCB;Landscaping material;39.47;1.96;32.11;46.64;Normal;Gas Yield in Agricultural Biogas Plants, Dandikas et al. (2021)
LCB;Legume straw;85.97;4.27;68.99;100;Normal;Basic data for the implementation of the Fertilizer Ordinance, for consulting and planning and for calculations (LfL, 2023)
LCB;Maize straw;85.97;4.28;67.97;100;Normal;Basic data for the implementation of the Fertilizer Ordinance, for consulting and planning and for calculations (LfL, 2023)
LCB;Permanent grassland;28.21;1.41;23.04;33.39;Normal;Gas Yield in Agricultural Biogas Plants, Dandikas et al. (2021)
LCB;Szarvasi whole crop;31.01;1.55;24.65;36.38;Normal;Gas Yield in Agricultural Biogas Plants, Dandikas et al. (2021)
NCB;Cattle manure;22.91;1.13;18.61;27.36;Normal;Gas Yield in Agricultural Biogas Plants, Dandikas et al. (2021)
NCB;Cattle slurry;8.91;0.44;7.13;10.49;Normal;Gas Yield in Agricultural Biogas Plants, Dandikas et al. (2021)
NCB;Grape pomace;36.59;1.82;30.44;44.28;Normal;Gas Yield in Agricultural Biogas Plants, Dandikas et al. (2021)
NCB;Hops chaff;26.93;1.34;22.12;32.51;Normal;Basic data for the implementation of the Fertilizer Ordinance, for consulting and planning and for calculations (LfL, 2023)
NCB;Horse manure;31.5;1.57;25.2;37.37;Normal;Gas Yield in Agricultural Biogas Plants, Dandikas et al. (2021)
NCB;Pig manure;31.02;1.56;25.11;37.58;Normal;Comparison on batch anaerobic digestion of five different livestock manures and prediction of biochemical methane potential (BMP) using different statistical models, Kafle et al. (2016)
NCB;Pig slurry;4.8;0.24;3.91;5.71;Normal;Basic data for the implementation of the Fertilizer Ordinance, for consulting and planning and for calculations (LfL, 2023)
NCB;Potato haulm;14.99;0.76;12.1;18.03;Normal;Basic data for the implementation of the Fertilizer Ordinance, for consulting and planning and for calculations (LfL, 2023)
NCB;Poultry manure;47.73;2.39;37.48;56.54;Normal;Gas Yield in Agricultural Biogas Plants, Dandikas et al. (2021)
NCB;Rape straw;86.06;4.32;70.25;100;Normal;Basic data for the implementation of the Fertilizer Ordinance, for consulting and planning and for calculations (LfL, 2023)
NCB;Sheep manure;27.13;1.37;21.55;32.46;Normal;Own data, unpublished
NCB;Sunflower straw;65.41;3.27;52.5;77.66;Normal;Evaluation of Sunflower Crop Residue in Rations for Growing Holstein Heifers, Drackley et al. (1985)
